"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11336","test_order_feed_click[chrome]","tests","2026-09-25","passed","2026-09-25","TestConstructor","test_constructor","",""
"","11327","test_order_feed_click[firefox]","tests","2026-09-25","passed","2026-09-25","TestConstructor","test_constructor","",""
"","15441","test_order_number_in_progress[chrome]","tests","2026-09-25","passed","2026-09-25","TestOrderFeed","test_order_feed","",""
"","69","test_counter_increases[firefox]","tests","2026-09-25","passed","2026-09-25","TestConstructor","test_constructor","",""
"","767","test_close_modal[firefox]","tests","2026-09-25","passed","2026-09-25","TestConstructor","test_constructor","",""
"","103","test_ingredient_modal[chrome]","tests","2026-09-25","passed","2026-09-25","TestConstructor","test_constructor","",""
"","11429","test_constructor_click[firefox]","tests","2026-09-25","passed","2026-09-25","TestConstructor","test_constructor","",""
"","15739","test_all_time_counter_increases[firefox]","tests","2026-09-25","passed","2026-09-25","TestOrderFeed","test_order_feed","",""
"","82","test_counter_increases[chrome]","tests","2026-09-25","passed","2026-09-25","TestConstructor","test_constructor","",""
"","15293","test_get_today_counter_increases[chrome]","tests","2026-09-25","passed","2026-09-25","TestOrderFeed","test_order_feed","",""
"","120","test_ingredient_modal[firefox]","tests","2026-09-25","passed","2026-09-25","TestConstructor","test_constructor","",""
"","11542","test_constructor_click[chrome]","tests","2026-09-25","passed","2026-09-25","TestConstructor","test_constructor","",""
"","15285","test_all_time_counter_increases[chrome]","tests","2026-09-25","passed","2026-09-25","TestOrderFeed","test_order_feed","",""
"","15275","test_get_today_counter_increases[firefox]","tests","2026-09-25","passed","2026-09-25","TestOrderFeed","test_order_feed","",""
"","754","test_close_modal[chrome]","tests","2026-09-25","passed","2026-09-25","TestConstructor","test_constructor","",""
"","15635","test_order_number_in_progress[firefox]","tests","2026-09-25","passed","2026-09-25","TestOrderFeed","test_order_feed","",""
